,District,Total_Cases,Cases_Today
0,Bokaro,10,0
1,Deoghar,4,0
2,Dhanbad,2,0
3,Dumka,2,0
4,Garhwa,3,0
5,Giridih,1,0
6,Godda,1,0
7,Hazaribagh,3,0
8,Jamtara,2,0
9,Koderma,1,0
10,Palamu,3,0
11,Ranchi,91,0
12,Simdega,2,0
