,District,Total_Cases,Cases_Today
0,East Delhi,1,0
1,South West Delhi,3,0
2,West Delhi,2,0
3,North Delhi,3,0
4,New Delhi,5,0
5,South Delhi,26,0
6,North East Delhi,1,0
7,North West Delhi,3,0
8,Unknown,1959,0
