,District,Total_Cases,Cases_Today
0,Anantapur,53,2
1,Chittoor,73,0
2,East Godavari,39,2
3,Guntur,214,5
4,Krishna,177,50
5,Kurnool,279,4
6,Prakasam,56,3
7,S.P.S. Nellore,72,0
8,Srikakulam,3,0
9,Visakhapatnam,22,0
10,West Godavari,51,12
11,Y.S.R.,58,3
