,District,Total_Cases,Cases_Today
0,Almora,4,0
1,Bageshwar,6,0
2,Chamoli,1,0
3,Champawat,0,0
4,Dehradun,54,0
5,Haridwar,12,0
6,Nainital,28,0
7,Pauri Garhwal,4,0
8,Pithoragarh,0,0
9,Rudraprayag,0,0
10,Tehri Garhwal,6,0
11,Udham Singh Nagar,31,0
12,Uttarkashi,7,0
