,District,Total_Cases,Cases_Today
0,East Garo Hills,0,0
1,East Jaintia Hills,0,0
2,East Khasi Hills,13,0
3,North Garo Hills,0,0
4,Ribhoi,0,0
5,South Garo Hills,0,0
6,South West Garo Hills,0,0
7,South West Khasi Hills,0,0
8,West Garo Hills,1,1
9,West Jaintia Hills,0,0
10,West Khasi Hills,0,0
