,District,Total_Cases,Cases_Today
0,Bilaspur,2,0
1,Chamba,12,0
2,Hamirpur,4,0
3,Kangra,10,1
4,Mandi,2,0
5,Shimla,1,0
6,Sirmaur,2,0
7,Solan,9,0
8,Una,17,0
