,District,Total_Cases,Cases_Today
0,Alappuzha,5,0
1,Ernakulam,24,0
2,Idukki,10,0
3,Kannur,102,10
4,Kasaragod,172,3
5,Kollam,10,1
6,Kottayam,3,0
7,Kozhikode,20,0
8,Malappuram,21,1
9,Palakkad,12,4
10,Pathanamthitta,17,0
11,Thiruvananthapuram,14,0
12,Thrissur,13,0
13,Wayanad,3,0
