,Andaman and Nicobar Islands,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,date,Daman and Diu,Delhi,Dadra and Nagar Haveli,Goa,Gujarat,Himachal Pradesh,Haryana,Jharkhand,Jammu and Kashmir,Karnataka,Kerala,Ladakh,Lakshadweep,Maharashtra,Meghalaya,Manipur,Madhya Pradesh,Mizoram,Nagaland,Odisha,Punjab,Puducherry,Rajasthan,Sikkim,status,Telangana,Tamil Nadu,Tripura,India,Uttar Pradesh,Uttarakhand,West Bengal
31,0,0,0,0,0,0,0,2020-03-24,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,Recovered,0,0,0,5,2,0,0
32,0,0,0,0,0,0,0,2020-03-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,Deceased,0,1,0,1,0,0,0
33,0,2,0,0,1,0,2,2020-03-25,0,5,0,3,4,0,1,0,5,10,9,0,0,15,0,0,8.0,1,0,0,2,0,6,0,Confirmed,4,8,0,90,3,1,0
34,0,1,0,0,0,0,0,2020-03-25,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,Recovered,0,0,0,3,0,0,0
35,0,0,0,0,0,0,0,2020-03-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,Deceased,0,0,0,1,0,0,0
36,1,1,0,0,3,0,3,2020-03-26,0,1,0,0,5,0,1,0,3,4,19,0,0,3,0,0,5.0,0,0,1,2,0,2,0,Confirmed,3,3,0,65,4,0,1
37,0,0,0,0,0,0,0,2020-03-26,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0.0,0,0,0,0,0,0,0,Recovered,0,0,0,7,0,0,0
38,0,0,0,0,0,0,0,2020-03-26,0,0,0,0,2,0,0,0,1,1,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,Deceased,0,0,0,5,0,0,0
39,5,2,0,0,2,1,0,2020-03-27,0,4,0,0,4,0,1,0,6,9,39,0,0,31,0,0,9.0,0,0,0,5,0,10,0,Confirmed,15,9,0,164,7,0,5
40,0,0,0,0,0,0,0,2020-03-27,0,0,0,0,0,1,0,0,0,2,0,3,0,18,0,0,0.0,0,0,0,1,0,0,0,Recovered,0,1,0,26,0,0,0
41,0,0,0,0,0,0,0,2020-03-27,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1.0,0,0,0,0,0,0,0,Deceased,0,0,0,3,0,0,0
42,3,6,0,0,2,0,1,2020-03-28,0,9,0,0,8,0,2,0,13,17,6,0,0,30,0,0,10.0,0,0,0,0,0,4,0,Confirmed,8,4,0,143,16,1,3
43,0,0,0,0,0,0,0,2020-03-28,0,0,0,0,0,1,0,0,0,0,1,0,0,6,0,0,0.0,0,0,0,0,0,0,0,Recovered,0,0,0,9,0,1,0
44,0,0,0,0,0,0,0,2020-03-28,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0.0,0,0,0,0,0,0,0,Deceased,1,0,0,5,0,0,0
45,0,2,0,0,4,0,0,2020-03-29,0,23,0,2,8,0,0,0,5,2,20,0,0,17,0,0,0.0,0,0,0,0,0,5,0,Confirmed,3,8,0,110,7,1,3
46,0,0,0,0,0,0,0,2020-03-29,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0.0,0,0,0,0,0,0,0,Recovered,0,0,0,5,0,0,0
47,0,0,0,0,0,0,0,2020-03-29,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,Deceased,0,0,0,3,0,0,0
48,1,2,0,0,0,5,1,2020-03-30,0,25,0,0,7,0,1,0,11,5,32,0,0,17,0,0,8.0,0,0,0,3,0,20,0,Confirmed,7,17,0,187,24,0,1
49,0,0,0,0,0,0,0,2020-03-30,0,0,0,0,2,0,6,0,0,1,4,0,0,14,0,0,0.0,0,0,0,0,0,0,0,Recovered,13,2,0,49,6,1,0
50,0,0,0,0,0,0,0,2020-03-30,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2.0,0,0,0,2,0,0,0,Deceased,5,0,0,13,0,0,1
51,0,21,0,1,6,2,1,2020-03-31,0,23,0,0,4,0,7,1,6,13,7,0,0,82,0,0,19.0,0,0,1,1,0,14,0,Confirmed,20,57,0,309,8,0,15
